GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Tue May 07 18:29:40 GMT+05:30 2019,07-May-2019 18:29:40.490,77.6280218907706,13.067638324349902,0.60418016,4.0,822.3455214715246,233.75543,-3.7398572,-3.19396257,8.92585659,0.03433106,0.03920459,-0.38122904,-0.3255823,0.80987322,27,1.78644216,0.09924679,157.54612732,-,972,-,49.97166443,0.05650802,4,822.34552002,233.75543213,13.0676384,77.62802124,0.40620244,35,1.54196548,9.22385597,64.85094452,10.84122658,4.35583448,26.05609131,1.35151255,1.86411357,2.9757905,183.73156738,519.01574707,6.45179224,17
Tue May 07 18:29:41 GMT+05:30 2019,07-May-2019 18:29:41.490,77.62801705433563,13.067636038933646,0.6136597,4.0,822.3291552324857,243.0576,-3.54113245,-4.32645464,7.9753294,0.01730975,-0.01305715,-0.4080762,-0.39172384,0.70834231,27,1.72603106,0.10713296,157.5247345,-,979.75,-,49.97064972,0.0570661,4,822.3291626,243.05760193,13.06763649,77.62801361,0.40620244,35,1.01502752,9.22265625,98.5174408,10.84263706,2.86730957,26.05270195,1.37271762,1.24274242,2.9757905,181.95263672,513.99047852,6.45219135,18
Tue May 07 18:29:42 GMT+05:30 2019,07-May-2019 18:29:42.490,77.62801412487589,13.06763585699424,0.5234317,4.0,822.163482789132,259.19626,-3.75422287,-2.99763203,8.88515377,0.0486421,-0.01367665,-0.35682261,-0.30752152,0.76618558,27,1.7005949,0.1110354,157.48381042,-,994,-,49.96944427,0.05772886,4,822.16351318,259.19625854,13.06763554,77.62801361,0.40620244,35,1.04170907,9.22168255,95.99409485,10.84378242,2.94268107,26.04995155,1.17088342,1.24274242,2.9757905,180.70680237,510.47119141,6.45245123,19
Tue May 07 18:29:43 GMT+05:30 2019,07-May-2019 18:29:43.494,77.62801170417451,13.067637160532563,0.38319027,4.0,822.264668438466,259.19626,-3.34001327,-4.09181547,7.63294792,0.01446463,0.00401633,-0.3726868,-0.41686249,0.73348099,27,1.67770219,0.11451893,157.4825592,-,986.75,-,49.96904373,0.05794827,4,822.26464844,259.19625854,13.06763744,77.62801361,0.40620244,35,1.38756561,9.22058392,72.06716156,10.84507465,3.91967702,26.04684639,0.85717219,0,2.9757905,179.19995117,506.21456909,6.452631,20
Tue May 07 18:29:44 GMT+05:30 2019,07-May-2019 18:29:44.494,77.62801121707885,13.067638416008446,0.0012031053,4.0,822.2507475036383,259.19626,-3.75661707,-4.16124964,8.06631184,0.0148005,-0.03588045,-0.36536485,-0.41100493,0.69150186,27,1.67770219,0.11374252,157.44865417,-,973.75,-,49.96820831,0.05840796,4,822.25073242,259.19625854,13.0676384,77.62801361,-,35,0,9.21985149,-,10.84593582,0,26.04477882,0.00269127,0,-,178.35928345,503.83978271,6.452631,21
Tue May 07 18:29:45 GMT+05:30 2019,07-May-2019 18:29:45.491,77.62801114132623,13.067637714784775,0.0044287723,4.0,822.2400158107622,259.19626,-3.46212149,-4.21152925,7.99927235,0.00671705,0.06479575,-0.39806953,-0.45054343,0.77838886,27,1.67770219,0.11335825,157.44766235,-,975.5,-,49.96789551,0.05858112,4,822.23999023,259.19625854,13.06763744,77.62801361,-,35,0,9.21888924,-,10.84706879,0,26.04205894,0.00990688,0,-,177.26403809,500.74584961,6.452631,22
Tue May 07 18:29:46 GMT+05:30 2019,07-May-2019 18:29:46.493,77.62801083895528,13.067638918737963,0.00470589,4.0,822.2516864197013,259.19626,-3.96491909,-4.52039099,8.05434036,0.02814394,0.02493866,-0.40417114,-0.46079418,0.72103363,27,1.67770219,0.11259747,157.41604614,-,974,-,49.96708679,0.0590253,4,822.25170898,259.19625854,13.06763935,77.62801361,-,35,0,9.21814919,-,10.84793854,0,26.0399704,0.01052678,0,-,176.43267822,498.3973999,6.452631,23
Tue May 07 18:29:47 GMT+05:30 2019,07-May-2019 18:29:47.494,77.62800892257144,13.067639894877654,0.006153305,4.0,822.3023850523322,259.19626,-3.3471961,-4.25941467,7.84124994,-0.00948548,-0.02815355,-0.34120244,-0.43419108,0.69931191,27,1.67770219,0.11222089,157.39738464,-,976,-,49.96626663,0.0594756,4,822.30236816,259.19625854,13.0676403,77.62800598,-,35,0,9.21649456,-,10.84988689,0,26.03529549,0.01376455,0,-,174.5980835,493.21490479,6.452631,24
Tue May 07 18:29:48 GMT+05:30 2019,07-May-2019 18:29:48.493,77.62800843724646,13.067641311691014,0.016347505,4.0,822.3194632708513,259.19626,-3.83323407,-4.34321451,8.73910332,0.02913493,0.04501326,-0.40368301,-0.43956053,0.75739926,27,1.67770219,0.11147523,157.38316345,-,976,-,49.96561813,0.05983258,4,822.31945801,259.19625854,13.06764126,77.62800598,-,35,0,9.21553898,-,10.85101128,0,26.03259659,0.03656833,0,-,173.55638123,490.27224731,6.452631,25
Tue May 07 18:29:49 GMT+05:30 2019,07-May-2019 18:29:49.494,77.6280079919121,13.067642622467602,0.00594912,4.0,822.303917652911,259.19626,-3.25142527,-4.13491249,8.04236889,0.02165244,0.0603876,-0.39538482,-0.45762134,0.7705788,27,1.67770219,0.11110611,157.36528015,-,976.75,-,49.96512222,0.06010589,4,822.30389404,259.19625854,13.06764221,77.62800598,-,35,0,9.21480751,-,10.85187244,0,26.03053093,0.0133078,0,-,172.76719666,488.04293823,6.452631,26
