GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(Â°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(Â°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Mon May 13 16:44:24 GMT+05:30 2019,13-May-2019 16:44:25,77.56730479,13.03228895,5.769407,128,932.3652402,73.59839,-1.02474964,-4.93220615,8.53798389,-0.00099937,-0.00840378,-0.09835807,-0.55890816,0.71273547,29,7.33809757,2.48548484,144.6842651,-,1321.5,-,48.20943069,0.02118733,128,932.3652344,73.59838867,13.03228855,77.56730652,19.72354889,37,181.2480011,8.78264332,0,11.38585663,512,24.80972672,12.90579414,11.18468189,81.27695465,2.12095141,5.99138784,0.02792321,13
Mon May 13 16:44:25 GMT+05:30 2019,13-May-2019 16:44:26,77.56730726,13.03228157,5.6720834,96,923.1378725,80.74876,-1.786129,-3.75901151,9.05754185,0.06193708,0.04327871,-0.09420898,-0.3436431,0.88016385,29,7.45645428,2.6038413,144.7009277,-,1084.25,-,48.20864105,0.0216225,96,923.1378784,80.74875641,13.03228188,77.56730652,19.72354889,37,8.68100643,8.78235245,11.51916218,11.38623333,24.52261543,24.80890656,12.68808937,9.94193935,81.27695465,2.1957593,6.20271015,0.02950184,14
Mon May 13 16:44:26 GMT+05:30 2019,13-May-2019 16:44:27,77.56735896,13.03228978,0,96,923.1301682,0,-1.54670155,-4.2426548,8.49967575,-0.00980347,0.03688276,-0.16669619,-0.41735065,0.83403558,29,7.63768768,2.82006931,144.6934204,-,1134.25,-,48.20772934,0.02212383,96,923.130188,0,13.03228951,77.56735992,-,37,4.35493612,8.78235245,22.96197319,11.38623333,12.3020792,24.80890656,0,9.94193935,-,2.1957593,6.20271015,0.03347473,15
Mon May 13 16:44:27 GMT+05:30 2019,13-May-2019 16:44:28,77.56737432,13.03235084,5.05289,32,934.6770331,87.59512,-1.34797668,-5.01361132,8.63614941,-0.00686173,0.01233525,-0.1686487,-0.50423765,0.76106024,29,7.72985744,2.92797613,144.6907501,-,1118.5,-,48.20684052,0.02261361,32,934.677063,87.59512329,13.03235054,77.56737518,-,37,7.83114576,8.78182888,12.7692585,11.38691235,22.12187958,24.80742645,11.30299282,9.94193935,-,2.3822577,6.72954178,0.03567025,16
Mon May 13 16:44:28 GMT+05:30 2019,13-May-2019 16:44:29,77.56719923,13.03220926,4.313787,24,880.9211977,93.57984,-1.65204966,-5.69837427,8.490098,0.04337936,0.02562242,-0.19891274,-0.58746374,0.71639645,29,7.77864695,3.08858037,144.6820984,-,895.5,-,48.20606232,0.02304077,24,880.9212036,93.57984161,13.0322094,77.56719971,-,37,22.07718468,8.78196907,4.52946901,11.38673019,62.36492538,24.80782318,9.64966583,8.07782555,-,2.50178862,7.06719923,0.03899613,17
Mon May 13 16:44:29 GMT+05:30 2019,13-May-2019 16:44:30,77.56719728,13.0321696,0,24,864.3805723,0,-1.64007819,-5.57866049,7.67604494,0.03203996,-0.03494946,-0.11373415,-0.60601264,0.64195669,29,7.74494839,3.14287758,144.6902924,-,900.25,-,48.20497513,0.02363909,24,864.3805542,0,13.03216934,77.56719971,-,37,5.75764179,8.7822113,17.36786079,11.38641739,16.26452446,24.80850601,0,6.83508301,-,2.73122859,7.71533489,0.04011875,18
Mon May 13 16:44:30 GMT+05:30 2019,13-May-2019 16:44:31,77.56712978,13.03211085,1.8847709,12,845.3706753,88.908745,-2.22906995,-5.37514687,7.94659805,0.03694123,0.01746801,-0.17938755,-0.52888823,0.75007737,29,7.53930378,3.18562126,144.6820221,-,828,-,48.2047081,0.02378526,12,845.3706665,88.90874481,13.03211117,77.56713104,-,37,7.9968586,8.7822113,12.50465012,11.38641739,22.58999634,24.80850601,4.21611214,4.34959841,-,2.73122859,7.71533489,0.04228276,19
Mon May 13 16:44:31 GMT+05:30 2019,13-May-2019 16:44:32,77.56712162,13.03210091,1.1687,12,842.0440738,75.801315,-1.88429427,-3.92900491,8.76783466,0.01493056,0.03488727,-0.20525841,-0.41857094,0.82354081,29,7.4163661,3.19315743,144.6803436,-,899.5,-,48.20415115,0.0240928,12,842.0440674,75.80131531,13.03210068,77.56712341,-,37,5.5764308,8.78209782,17.93224335,11.38656425,15.75262928,24.80818558,2.61430717,3.72822714,-,2.82434392,7.97837257,0.04311746,20
Mon May 13 16:44:32 GMT+05:30 2019,13-May-2019 16:44:33,77.5671245,13.03210042,1.7930417,12,841.8579237,62.330025,-1.38149655,-5.1237483,7.27141237,-0.00588136,-0.04416487,-0.12911023,-0.53547794,0.68076301,29,7.23050117,3.22441244,144.6634369,-,978,-,48.2024231,0.02504135,12,841.8579102,62.33002472,13.03210068,77.56712341,-,37,2.08980632,8.78149986,47.85032654,11.38733959,5.90340805,24.80649567,4.01092005,4.34959841,-,2.82688069,7.98553896,0.04468134,21
Mon May 13 16:44:33 GMT+05:30 2019,13-May-2019 16:44:34,77.56713776,13.03210691,1.5539227,8,841.1241886,59.446045,-0.4836435,-4.62095022,8.60741806,0.02145892,0.06225432,-0.05564675,-0.49935639,0.83550006,29,7.09094191,3.21456027,144.6625214,-,927.75,-,48.20211792,0.02521071,8,841.1242065,59.44604492,13.03210735,77.56713867,-,37,6.46367311,8.78074837,15.47075748,11.38831425,18.25896454,24.80437279,3.47602582,2.48548484,-,2.85221648,8.05710888,0.04518352,22
Mon May 13 16:44:34 GMT+05:30 2019,13-May-2019 16:44:35,77.56714906,13.03210964,0.9723463,8,839.8133357,64.44065,-0.60814577,-5.91625309,7.90828991,0.00299819,0.00802474,-0.08029728,-0.6047923,0.70199662,29,6.81782293,3.18755341,144.6422424,-,916,-,48.20131302,0.02565263,8,839.8133545,64.44065094,13.03210926,77.5671463,-,37,3.26063228,8.78041553,30.66826057,11.38874626,9.21082592,24.80343246,2.17507672,1.86411357,-,2.85491371,8.06472778,0.04613733,23
Mon May 13 16:44:35 GMT+05:30 2019,13-May-2019 16:44:36,77.56714906,13.03210964,0,8,838.3888575,64.44065,-0.50040346,-4.94657183,8.04236889,-0.01717871,-0.06694116,-0.06980251,-0.48812938,0.69174588,29,6.66714478,3.16262007,144.6407318,-,907,-,48.20081329,0.02592721,8,838.388855,64.44065094,13.03210926,77.5671463,-,37,2.49466467,8.77985287,40.08471298,11.38947487,7.04707575,24.80184555,0,1.24274242,-,2.86377025,8.08974648,0.04645362,24
Mon May 13 16:44:35 GMT+05:30 2019,13-May-2019 16:44:37,77.56714906,13.03210964,0,8,838.3888575,64.44065,-0.83320761,-6.65608406,7.29535532,0.03768042,-0.00143096,-0.07858884,-0.69778097,0.60949612,29,6.54074955,3.14618325,144.6191711,-,938.25,-,48.19984055,0.02646337,8,838.388855,64.44065094,13.03210926,77.5671463,-,37,2.31601334,8.77928257,43.17674637,11.39021492,6.54241037,24.80023384,0,1.86411357,-,2.84552765,8.03821373,0.04679452,25
Mon May 13 16:44:37 GMT+05:30 2019,13-May-2019 16:44:38,77.56714906,13.03210964,0,6,837.6519997,64.44065,-0.86433321,-5.43260956,8.43502998,0.01858244,-0.04000979,-0.08273793,-0.52571535,0.69857973,29,6.40490341,3.08384228,144.6182556,-,924,-,48.19953537,0.02663003,6,837.6519775,64.44065094,13.03210926,77.5671463,-,37,1.74000847,8.77877808,57.4697876,11.39087009,4.91527843,24.79880714,0,0,-,2.84154296,8.02695751,0.04702019,26
Mon May 13 16:44:38 GMT+05:30 2019,13-May-2019 16:44:39,77.56714906,13.03210964,0,6,836.8645166,64.44065,-1.07981789,-5.65767145,7.92504978,0.02065616,0.02991062,-0.07712445,-0.58599937,0.74299943,29,6.26031446,3.05381203,144.5996704,-,913.25,-,48.19877243,0.02704946,6,836.864502,64.44065094,13.03210926,77.5671463,-,37,0.86501783,8.77829266,115.60215,11.39149952,2.44355321,24.79743767,0,0.62137121,-,2.81576705,7.95414448,0.04702019,27
Mon May 13 16:44:39 GMT+05:30 2019,13-May-2019 16:44:40,77.56714906,13.03210964,0,6,835.6516252,64.44065,-1.03911531,-5.80851078,7.53238869,-0.00562179,-0.03674415,-0.06809405,-0.57086736,0.67246479,29,5.99179411,2.99589705,144.5982208,-,876.5,-,48.19829178,0.02731462,6,835.6516113,64.44065094,13.03210926,77.5671463,0.12124774,37,0.88098019,8.7774601,113.5075684,11.39258003,2.4886446,24.79508591,0,0.62137121,0.94538796,2.77740264,7.84577036,0.04726546,28
